pp,ba,fu,pr,om
9,9,6.803333333,0,5.233333333
7.400366613000001,31.452368767,8.659201603,1.02848915,6.219950440000001
6.946666667,52.890000003,16.343333334,1.166666667,33.883333334
28.531937810000002,56.886832074000004,30.174783223,6.9353594229999995,23.786239680999998
1.07561579,5.07978943,3.22684737,0,1.94931774
14.575415324000002,44.109960097000005,27.85889319,1.56928007,21.312262713
14.249034796999998,43.228220524,36.553722713,2.917811903,20.058677699
1.565312674,3.126227364,3.91219848,0,3.1300837470000005
5.738184653999999,17.409535419,4.5731931669999994,0.606281073,11.212480514
14.093510247000001,24.106736216,17.288650330000003,0,19.936423073000004
3.7154704840000004,7.685163737999999,4.596599861,0,3.070190357
10.332350345,8.235034911,14.44986781,2.097315435,6.137719475000001
88.285,24.41,10.215,4.455,53.895
0.806907123,6.075381652999999,6.185454592999999,0,2.3451320090000003
10.215997459999999,44.268746175,21.02443624,8.683844893,19.001063014000003
20.91,43.425,5.225,0,5.38
6.13,5.99,0,0,1.95
8.908365965,57.97318627,56.08139661,3.583102845,23.339559620000003
5.1296339,5.240330650000001,0.95950873,0.95950873,9.410455825
8.627898952999999,24.859872166000002,9.866041093,0,16.21783846
73.035,39.235,46.93,0,10.42
20.063333333,18.313333334,3.17,4.266666668,11.573333334
5.28,26.885,7.365,0,10.72
12.901305156,22.102488219,2.944640753,0,14.607827197
0.82,0,2.18938088,0,3.8844822
15.145149199999999,97.45131634,18.2851574,14.8809524,64.35614257
2.765,10.815000000000001,2.765,0,8.295
29.580700276,96.372614884,34.051264247,9.39378375,42.072418066999994
4.05,14.27,6.074999999999999,0,0
18.06222258,58.268653779,34.956655987,7.684417549999999,24.271707143999997
74.655,18.18,20.96,0,14.765
2.95420975,1.77957281,1.85256614,0,4.733782559
5.926062151,14.303639894000002,6.318288817,0,3.5303104039999997
117.638913467,101.41831345399999,79.11498821,38.5437066,166.32049536000002
37.04389965,119.31534497,55.227138353,10.942905584,26.824328609999995
4.443333333,1.833333333,10.3,2.203333333,10.683333333
29.161198944,99.53154210100001,42.777826077,3.344957663,19.862152126
9.023446079,18.603584759,5.068591873,3.022974607,10.061405145
5.386613211,2.330908984,0,0,3.7982601069999995
10.59,2.02,2.02,4.035,2.02
13.698321,67.21583593700001,24.276933969999998,17.503472334,56.65196636
19.049868111000002,36.546058650999996,8.786437327,6.04128412,23.819497860999995
7.949471973,11.896769489,2.176223296,0,11.394803553000001
3.57777561,8.107482045000001,8.31376294,1.15821172,4.632846885
52.39,16.896666666,33.590000003,1.873333333,20.676666667
5.689504733,6.885763172,2.284669866,1.142334933,6.870983219999999
28.830000000000002,57.92999999999999,13.004999999999999,0,32.98500000000001
15.200352267,15.607637563999997,13.214162716999999,0,8.593270894
4.430000001,24.300000000000004,2.215,0,8.785
11.433320892,60.94876799699999,5.690404492999999,0,28.504534375000002
1.392951663,4.069253017,0,0,2.7204440300000003
52.95,24.695,38.845,7.06,42.315
14.418048253000002,26.19422356,20.22592903,16.310224616,26.205091668999998
3.5213376289999996,1.753134836,0,0.892697733,3.521337626
29.913027293,10.801755933,11.532330825999999,1.71556013,30.913223216000002
21.898671675000003,43.566043816,21.607522155999998,16.330966553,33.644231202
3.6920505500000003,1.4849957900000001,6.656883553,0,0
20.701683385,70.413058423,26.909547860000004,7.4943886,16.910776626000004
6.464297564999999,3.564595357,3.585855631,0,4.39084363
3.7541231489999998,3.754123147,2.96572832,0,2.295333943
26.22,30.6783333335,7.984999999999999,0,2.815
4.015,22.959999999999997,11.794999999999998,0,2.635
1.525,15.255,4.71,0,4.71
